X,Y,OBJECTID,FILE_NUM,FILE_TYPE,ADDRESS,FILE_YEAR,DESCRIPTION,APPLICATION_ID
580726.309,4783292.1519,14734,ZAC-16-017,Zoning Amendment,515 GARNER RD W,2016,To change zoning from Agricultural (A-216) to Modified Residential (RM2) to permit a 46 townhouse development.,
596339.7362,4775103.9419,14735,UHOPA-16-005,Official Plan Amendment,3385 BINBROOK RD,2016,To establish a site Specific Area Policy to permit 4 new single detached lots on Gowland Dr (rear property).,
583408.2133,4786651.4895,14736,ZAC-16-022,Zoning Amendment,57 ACADEMY,2016,To change zoning from RM1 Multiple Residential to Existing Residential to permit 4 two storey Single Detached dwellings.,
598805.3793,4792434.2671,14737,DAB-16-053,Site Plan,525 BEACH BLVD,2016,To construct a 78.33 SqM addition to the existing Single Family dwelling.,
598377.6216,4789738.5483,14738,SPA-16-056,Site Plan,1641 BRAMPTON ST,2016,To construct a 19.5 m high roofed over equipment shelter.,
597835.5302,4781134.3502,14739,PLC-16-007,Part Lot Control,20 KINGSBUROUGH DR,2016,Removal of Part Lot Control for 3 townhouse lots.,
594828.8017,4789273.568,14740,DA-16-061,Site Plan,1055 KING ST E,2016,To construct a new HWDSB North Secondary School.,
600730.4014,4786688.5559,14741,ZAC-16-009,Zoning Amendment,860 QUEENSTON RD,2016,Change designation from Open Space and NHS Linkage to Multiple Residential (RM5)1 to allow a 19 storey 223 unit apartment building.,
584493.3227,4791011.9005,14742,FC-16-017,Formal Consultation,121 KING ST W,2016,Add a new 8 bay auto service addition to the existing building.,
588545.541,4781613.9521,14743,ZAR-16-004,Zoning Amendment,9196 DICKENSON RD,2016,To add a landscape contractors business as a permitted use to the subject lands,
587531.3493,4798320.3012,14744,FC-16-019,Formal Consultation,157 PARKSIDE DR,2016,To construct 36  stacked THs and 55 street townhouses. ,
594211.0505,4789961.5446,14745,FC-16-018,Formal Consultation,157 GIBSON AVE,2016,To utilitize the 2 storey accessory building and house for home based business purposes.,
591913.4656,4790018.7068,14746,25CDM-201602,Condominium,31 KING WILLIAM ST,2016,"Plan of Condominium, To construct a 6 storey 25 apartment unit with 3 commercial unit building.",
594978.195,4789247.311,14747,DA-16-062,Site Plan,1055 KING ST E,2016,To construct a new Bernie Morelli Recreation Centre,
587480.1877,4790696.1022,14748,MDA-16-060,Site Plan,1280 MAIN ST W,2016,To reconstruct retaining wall.,
600301.1563,4785861.8499,14749,SPA-16-051,Site Plan,76 KING ST W,2016,To renovate the existing 1 storey office building and to construct a 268 SqM addition to the rear of building.,
580863.6382,4793023.512,14750,MDA-16-070,Site Plan,46 SHAKESPEARE RD,2016,To place a temporary sales pavilion on subject lands.,
588244.0033,4784283.4203,14751,FC-16-071,Formal Consultation,1670 GARTH ST,2016,To construct a 1 storey 372 SqM commercial building and a 10 storey 98 unit residential apartment building.,
599399.5376,4781877.5635,14752,ZAC-16-033,Zoning Amendment,15 PICARDY DR,2016,"To amend zoning from Neighbourhood Development ""ND"" Holding to Multiple Residential ""RM-2"" to permit construction of 71 townhouses.",
594607.4395,4783359.9503,14753,DA-16-024,Site Plan,1224 STONE CHURCH RD E,2016,"To construct a 1 storey, 1957.57 SqM, 15 unit Industrial building.",
584130.2783,4777349.3198,14754,FC-16-007,Formal Consultation,58 CARLUKE RD W,2016,To extend a new sanitary force sewer for approximately 4 km to connect with Municipal sewer network. ,
565486.2819,4796837.2755,14755,DAR-16-020,Site Plan,1190 HWY 8,2016,To construct a animal veterinary clinic.,
590225.8352,4783970.0722,14756,UHOPA-16-002,Official Plan Amendment,55 RYMAL RD E,2016,To amend the land use designation from Neighbourhood to site specific Mixed Use - Medium Density. Rear lands could be developed into residential if Dicenzo Dr is extended further west.,
592260.9308,4789759.8659,14757,FC-16-009,Formal Consultation,193 KING ST E,2016,"To establish a craft brewery in the basement and part of the main floor, to have a retail and Restaurant on the remainder of main floor and have residential units on top floors",
587125.4291,4795378.0303,14758,DA-16-035,Site Plan,95 HWY 5 W,2016,"To permit a restaurant within the existing vacant dwelling and to permit a conference/training centre within the accessory building.  Surface parking will be provided on-site, with an access from Coreslab Drive",
607296.8634,4785755.8738,14759,UHOPA-16-003,Official Plan Amendment,288 GLOVER RD,2016,"In advance of the Fruitland-Winona Secondary Plan, application would like to permit the development of a Townhouse block at Low Density designation.",
607301.6736,4785774.266,14760,ZAC-16-012,Zoning Amendment,288 GLOVER RD,2016,"In advance of the Fruitland-Winona Secondary Plan, application would like to change the IS Institutional Zoning to RM3 Multiple Residential.",
587360.2446,4795735.5014,14761,FC-16-015,Formal Consultation,43 HWY 5 W,2016,To establish a Industrial subdivision south of Borer's Creek that runs through the property.,
587810.9959,4795614.1127,14762,UHOPA-16-004,Official Plan Amendment,66 INNOVATION DR,2016,To permit a recreation and fitness centre within an office/warehouse building.,
587816.7113,4795589.0529,14763,ZAR-16-014,Zoning Amendment,66 INNOVATION DR,2016,To amend the Prestige Business Park (M3) zone to permit a recreation and fitness centre within an office/warehouse building,
603195.3946,4786076.1816,14764,FC-16-011,Formal Consultation,325 HWY 8,2016,To construct a 12 storey apartment building with commercial space on ground floor.,
599437.2304,4781867.1035,14765,FC-16-012,Formal Consultation,15 PICARDY DR,2016,To construct a 65 townhouse development.,
595976.8661,4781739.8581,14766,PSR-16-019,Preliminary Site Plan Review,1816 RYMAL RD E,2016,"To construct a 2 storey Shopping Centre with a motor vehicle service station, car wash, and drive-thru restaurant.",
586922.7798,4784822.779,14767,DA-16-025,Site Plan,1169 GARNER RD E,2016,"To construct 88 unit medium density 3 storey residential that includes 32 townhouses, 56 Back-to-back townhouses.",
590315.8433,4784907.331,14768,FC-16-014,Formal Consultation,15 STONE CHURCH RD E,2016,To permit the development of a 6 storey with 30 apartments units and commercial units on ground floor with associated parking.,
597556.8661,4782218.7428,14769,MDAR-16-094,Site Plan,335 HIGHLAND RD W,2016,To construct a 510 SqM single detached dwelling.,
597130.0236,4778321.0325,14770,FC-16-078,Formal Consultation,3355 GOLF CLUB RD,2016,To construct a single detached dwelling on land locked rear parcel of land south of hydro corridor.,
592023.5838,4789871.3558,14771,SPA-16-009,Site Plan,85 KING ST E,2016,"To convert 2nd floor to residential and construct a 4th floor. Ground floor for commercial, top floors are residential.",
585195.9014,4795661.2108,14772,SPA-16-012,Site Plan,548 MILLGROVE SIDE RD,2016,To construct a kennel,
596368.4053,4782737.3671,14773,ZAH-16-003,Zoning Amendment,512 HIGHLAND RD W,2016,To lift the Holding provision to permit the development of a community shopping centre.,
595880.2361,4775673.7357,14774,PLC-16-001,Part Lot Control,118 KINSMAN DR,2016,Removal of Part Lot Control for 13 townhouse lots.,
604147.1585,4780203.6419,14775,MDAR-16-005,Site Plan,610 HIGHLAND RD E,2016,ESA on property where applicant would like to construct a rear addition to house and side addtion garage.,
595796.6421,4782690.5968,14776,FC-16-002,Formal Consultation,60 HARLOWE RD,2016,To construct 2 additional Industrial and commercial condominium units.,
597954.5703,4785892.6612,14777,ZAC-16-002,Zoning Amendment,154 MOUNT ALBION RD,2016,To rezone to permit the construction of 28 unit townhouse units and 2 single detached dwellings in condominium,
599029.0167,4784586.0293,14778,ZAC-16-001,Zoning Amendment,2 GLOVER MOUNTAIN,2016,Change zoning from Neighbourhood Development ND to Single Residential R4 zone to permit 4 new lots for single detached dwellings.,
599024.4616,4784567.5205,14779,25T-201601,Subdivision,2 GLOVER MOUNTAIN,2016,To establish 4 new lots for single detached dwellings,
591673.9726,4790553.4253,14780,FC-16-003,Formal Consultation,141 PARK ST N,2016,To add an industrial kitchen with a cafe to existing institutional place of worship and charitable organization.,
603733.816,4788342.595,14781,25CDM-201601,Condominium,311 FRANCES AVE,2016,"Plan of Condominium, To construct a 129 apartment units condominium with 191 parking spaces.",
579209.3043,4782481.1878,14782,SPA-16-017,Site Plan,1350 OSPREY DR,2016,To construct a 548 SqM addition to the 278.7 SqM building for commercial purposes.,
599660.4269,4782764.8091,14783,PLC-16-003,Part Lot Control,93 PENNY LANE,2016,To Remove Part Lot Control to permit creation of 32 lots.,
587512.326,4797467.289,14784,DA-16-010,Site Plan,82 PARKSIDE DR,2016,"To construct an automatic car wash building at 284 SqM, manual car wash building at 401 SqM, and amentity building",
579256.6148,4802939.1604,14785,DAR-16-007,Site Plan,780 8TH CON RD W,2016,To develop an aquaponics building on the property.,
602695.3552,4788500.5004,14786,ZAC-16-008,Zoning Amendment,560 GRAYS RD,2016,change zoning to RM3 Multiple Residential Zone for a 4 storey building with 106 apartment units.,
587878.8669,4795729.8834,14787,SPA-16-018,Site Plan,20 INNOVATION DR,2016,To construct a second building on the southeasterly portion of the site.  The front portion of the building is proposed to contain a two storey office with a floor area of approximately 432 SqM and a 324 SqM warehouse in the back portion.,
569385.1468,4787700.268,14788,SPAR-16-014,Site Plan,148 LYNDEN RD,2016,"To construct a 2,811 SqM greenhouse.",
592836.2128,4790558.6188,14789,MDA-16-021,Site Plan,221 BARTON ST E,2016,A 79.4 SqM Metal Clad building constructed without Site Plan or Building Permit. ,
601064.9767,4787950.3958,14790,ZAR-16-005,Zoning Amendment,50 COVINGTON ST,2016,To add Motor Vehicle service station to the General Business Park M2 zoning to permit a motor vehicle repair garage.,
581197.8722,4784795.462,14791,DAER-20-036,Site Plan,180 VALLEYVIEW DR,2020,"To construct a 2-storey single detached dwelling with an attached garage, having a height of 8.88 metres and an overall building coverage of 349.69 sq. m., on a vacant lot in an Existing Residential ER Zone.",
579786.1941,4783572.0519,14792,FC-16-006,Formal Consultation,1097 WILSON ST W,2016,"To construct a 2,400 SqM Commercial building.",
604532.3501,4786858.3872,14793,SPA-16-016,Site Plan,481 BARTON ST,2016,"To construct a 2 storey 1,146 SqM building for additional classrooms and labratories.",
603911.6724,4788151.27,14794,PSR-16-023,Preliminary Site Plan Review,101 SHOREVIEW PL,2016,Two 6 storey apartment buildings with 468 apartments units and 10 Townhouse units.,
599112.4241,4781996.4427,14795,PLC-16-008,Part Lot Control,,2016,To Remove Part Lot Control to create 22 Semi Detached units and 11 lots,
588698.2203,4798914.9408,14796,FC-16-022,Formal Consultation,609 HAMILTON ST N,2016,To develop 61 residential units with a mixture of dwelling types.,
589873.9339,4783687.3851,14797,FC-16-026,Formal Consultation,1655 UPPER JAMES ST,2016,To create a mixed use development with Medium Density residential.,
599623.9259,4784019.7861,14798,ZAH-16-013,Zoning Amendment,420 FIRST RD W,2016,To lift the holding provisions in order to permit the development of an 11.2 ha component of a subdivision situated in the Red Hill Area 1,
599847.292,4786764.42,14799,ZAC-16-018,Zoning Amendment,61 CLAPHAM RD,2016,"To remove an existing dwelling in order to construct 5 street townhouses which would be oriented along Catalina Dr. The property is zoned Site Specific ""DE-2/S-48A' in Hamilton Zoning By-law 6593",
594543.775,4786737.054,14800,FC-16-020,Formal Consultation,1011 FENNELL AVE E,2016,To convert the single detached dwelling into a Chiropractic Office.,
591181.8203,4789944.9559,14801,SPA-16-039,Site Plan,163 MAIN ST W,2016,To renovate the existing 2 storey commercial building into a mixed use with commercial on ground floor and 7 residential units on second floor.,
579997.3265,4783465.4006,14802,SPA-16-037,Site Plan,1060 WILSON ST W,2016,To build a Boston Pizza Restaurant in the West corner of the property and to share the Canadian Tire Parking Lot.,
588590.5274,4783978.5995,14803,FC-16-035,Formal Consultation,393 RYMAL RD W,2016,"To build in two phases, a 5 storey 95 unit building and three 5 storey 130 unit buildings.",
592073.817,4792063.2487,14804,MDA-16-041,Site Plan,1 GUISE ST W,2016,To build additional boat slips in the Hamilton West Harbour Marina from 450 to 650 slips.,
572587.2216,4791893.3094,14805,FC-16-029,Formal Consultation,1659 HWY 5 W,2016,To construct a slaughter house for aproximately 300-500 sheep a month.,
567939.4306,4801014.8896,14806,ZAH-16-020,Zoning Amendment,1605 KIRKWALL RD,2016,To remove holding and change Zoning to permit the development of a residential subdivision.,
584011.2228,4784253.5899,14807,PLC-16-009,Part Lot Control,1659 HWY 5 W,2016,To Remove Part Lot Control and create 42 Townhouse lots.,
592390.7118,4790617.0242,14808,FC-16-025,Formal Consultation,252 CATHARINE ST N,2016,To develop a Mixed Use building.,
593582.2984,4784214.897,14809,FC-16-023,Formal Consultation,1275 UPPER GAGE AVE,2016,To construct 8 townhouse condominium units,
586010.5623,4787074.9214,14810,FC-16-021,Formal Consultation,1114 OLD MOHAWK RD,2016,To construct 12-18 apartment units for seniors under condominium plan.,
598122.5232,4793715.0872,14811,DAB-16-044,Site Plan,971 BEACH BLVD,2016,"To construct a single detached dwelling,.",
581708.5257,4785098.913,14812,DA-16-050,Site Plan,153 WILSON ST W,2016,To construct a 3 storey 76 unit condo apartment building.,
601375.9519,4788925.1415,14813,SPA-16-046,Site Plan,680 VAN WAGNERS BEACH RD,2016,"To establish a 3 pad ball hockey facility with 3 portable office structures, 2 spectator seating and lighting.",
598349.9119,4787422.8764,14814,SPA-16-047,Site Plan,346 QUEENSTON RD,2016,To construct a 3 storey 310 SqM addition to existing retirement home and demo single detached home on 348 Queenston Rd to accommodate space.,
597654.3589,4775764.4312,14815,FC-16-032,Formal Consultation,2365 HWY 56,2016,To modify existing subdivision plan 25T-200006 and changes to the Official Plan and Zoning for residential development.,
591252.7615,4787665.5569,14816,MDA-16-038,Site Plan,651 UPPER JAMES ST,2016,To place a mobile parcel pick-up structure with a gross floor area of 59 SqM.,
588394.5652,4778626.4733,14817,FC-16-031,Formal Consultation,8521 AIRPORT RD,2016,"Construct a Motor Vehicle Gas Bar with accessory convenience store and restaurant, and an automated Motor Vehicle Washing establishment.",
608116.0197,4786811.1411,14818,FC-16-028,Formal Consultation,67 SEABREEZE CRES,2016,To sever the subject property into 3 new lots and to construct 3 single detached dwellings.,
591063.6415,4791116.9939,14819,UHOPA-16-006,Official Plan Amendment,280 BARTON ST W,2016,To change designation from Medium Density Residential to Local Commercial.,
593703.4865,4774296.7952,14820,MDAR-16-003,Site Plan,3435 TRINITY CHURCH RD,2016,ESA lands where applicant would like to construct a single detached dwelling.,
603384.1053,4787150.1396,14821,MDA-16-002,Site Plan,299 BARTON ST,2016,Mountain View Elementary School - Parking lot resurfacing and playground construction.,
588919.2049,4781315.2086,14822,FC-16-004,Formal Consultation,2460 UPPER JAMES ST,2016,To construct in 2 phases a Self Storage facility. ,
587794.4697,4790875.5759,14823,FC-16-040,Formal Consultation,1280 KING ST W,2016,"To construct a living/learning centre of 14 stories and 33,352 SqM of residence for 500 students and classrooms and other student services and amenities.",
593432.7424,4784132.4382,14824,MDA-16-057,Site Plan,1310 UPPER GAGE AVE,2016,To construct a 2 storey addition to the existing Wilaya Community Centre.,
591902.6979,4790079.7419,14825,DA-16-066,Site Plan,46 JAMES ST N,2016,To construct a 21 storey Student Residence named William Thomas Students Residence with commercial space on ground floor and 159 units.,
586610.5746,4795256.6456,14826,DAR-19-018,Site Plan,49 CORESLAB DR,2019,"To construct a two storey 2,697.63 SqM farm product supply building and a one storey 557.42 sqM storage building. The proposal will have 66 parking spaces and 1 barrier free parking space.",
589456.8429,4798182.8406,14827,DA-19-021,Site Plan,5 HAMILTON ST N,2019,To construct a 6 storey mixed use building with 74 residential units and 126 SqM of ground floor commercial. The proposal will have 49 surface parking spaces and 70 underground parking spaces.,
574908.4146,4784260.3523,14828,SPAR-19-016,Site Plan,1915 JERSEYVILLE RD W,2019,To construct an approximately 218 SqM  accessory building (for soil storage purposes) and an approximately 144 SqM accessory bldg (for maintenance purposes).,
602871.5688,4787213.1554,14829,UHOPA-19-003,Official Plan Amendment,238 BARTON ST,2019,To establish Site Specific Low Density Residential 3c policy in the Western Development Area Secondary Plan to permit townhouse dwellings having a maximum density of 55 units per hectare.,
602869.2973,4787206.6655,14830,25T-201901,Subdivision,238 BARTON ST,2019,"The proposed Draft Plan of Subdivision consists of one block for road widening, and one block to facilitate the creation of Parcels of Tied Land for a future Common Element Condominium.",
602865.5686,4787195.8794,14831,ZAC-19-007,Zoning Amendment,238 BARTON ST,2019,"To change the zoning from Neighbourhood Development ND Zone to the Multiple Residential RM3 Zone, Modified in order to permit two buildings comprised of 12 three-storey townhouse units with 6 visitor parking spaces.",
589592.2111,4790557.9756,14832,HM/B-18:127,Land Division,57-65 GLEN RD,2018,To permit the conveyance of an irregular shaped parcel of land and to retain a parcel of land for residential purposes,
588309.7477,4796791.0274,14833,FL/B-17:38,Land Division,,2017,,
601473.8438,4769461.7007,14834,ZAA-17-043,Zoning Amendment,5174 BERRY RD,2017,To prohibit development on land as condition of GL/B-15:108,
604857.288,4785410.0261,14835,FC-17-076,Formal Consultation,582 HWY 8,2017,To redevelop site to build 13 townhouses and 7 visitor parking,
591282.7404,4790165.5087,14836,ZAC-17-046,Zoning Amendment,206 KING ST W,2017,To permit construction of a 15 storey mixed use building,
589786.9037,4798571.415,14837,FC-17-056,Formal Consultation,21 MILL ST N,2017,To convert existing building into office space and modify parking area,
589596.6372,4790381.9578,14838,UHOPA-17-018,Official Plan Amendment,644 MAIN ST W,2017,To amend the density and height restrictions to build a 18 storey residential building,
599912.7978,4784059.1018,14839,PLC-17-008,Part Lot Control,100-116 BRADSHAW DR,2017,"To remove Part Lot Control for 62M-1232, Blocks 62 and 69 to create nine (9) townhouse lots.",
599706.4734,4784133.1451,14840,PLC-17-004,Part Lot Control,"81-91 BEDROCK DR, 126-136 PAGEBROOK CRES",2017,"To remove Part Lot Control for 62M-1232, Blocks 67 and 71 to create twelve (12) townhouse lots.",
599761.7154,4784049.2893,14841,PLC-17-003,Part Lot Control,"1-11, 53-65 PRESTWICK ST",2017,"To remove Part Lot Control for 62M-1232, Blocks 63 and 64 to create thirteen (13) lots.",
603397.0578,4785367.8305,14842,SC/B-16:03,Land Division,23 Southmeadow Crescent,2016,,
580343.2969,4785223.7774,14843,AN/B-16:06,Land Division,520 Jerseyville Road,2016,,
588742.0134,4797033.2,14844,FL/B-16:05,Land Division,22 Dennis Ave.,2016,,
585065.6782,4793524.9679,14845,FL/B-16:10,Land Division,377 Harvest Road,2016,add to 294 HWY 5 W,
591151.7996,4799412.6856,14846,DA-17-099,Site Plan,261 SKINNER RD,2017,"To construct 23 three storey condominium stacked townhouse units on a private road on Block 233, Plan 62M-1238.",
584543.9764,4793068.4758,14847,DAR-17-097,Site Plan,414 HARVEST RD,2017,"To construct two 1,648 SqFt accessory structures (shop/barn purposes) with six associated parking spaces, as well as a 1,400 SqFt greenhouse structure.",
590839.9872,4785013.2772,14848,FC-17-111,Formal Consultation,1310 UPPER WELLINGTON ST,2017,"To develop a residential subdivision, which will be made up of 129 single detached dwelling, a freehold condominium block, a park and a stormwater management facility.",
585666.7933,4784681.346,14849,FC-17-104,Formal Consultation,479 SPRINGBROOK AVE,2017,"To create ten (10) lots for single detached homes, six (6) fronting onto Springbrook Ave and four (4) off a proposed extension of Fair St.",
602871.3077,4787223.5807,14850,FC-17-099,Formal Consultation,238 BARTON ST,2017,To permit 12 townhouses on a condominium road. The applicant has provided 6 visitor parking spaces.,
588273.4419,4798988.0126,14851,DA-17-120,Site Plan,619 CENTRE RD,2017,To construct 110 maisonette units and 26 block townhouse units for a total of 136 townhouse units with a density of 70.3 units per hectare.,
598652.4325,4785677.9543,14852,DA-17-061,Site Plan,50 ALBRIGHT RD,2017,"To construct 18 semi-detached dwellings, 32 rear lane street townhouse dwellings, and 160 street townhouse dwelling units accessed from a private condominium road.",
597069.3271,4774941.6967,14853,DA-17-107,Site Plan,3033-3063 BINBROOK RD,2021,To revise the denied site plan app. to develop a mixed-use bldg. (with GF commercial) with varied bldg. heights up to 6-storeys. Proposal incorporates existing heritage bldg. 122 vehicle parking spaces (both surface and underground) and bike parking,
583141.9254,4786629.6371,14854,SPA-17-128,Site Plan,,2017,"To construct a 230.5 SqM addition to the existing bldg designated under the Ontario Heritage Act, for a microbrewery, accessory to the existing restaurant and storage.",
603442.4812,4788219.3062,14855,FC-17-100,Formal Consultation,461 GREEN RD,2017,"To demolish the existing commercial plaza to construct a fifteen storey, mixed use building containing 267 residential units, 234 underground parking spaces, 71 surface parking spaces and commercial uses on the ground floor.",
602367.272,4786315.8044,14856,FC-17-107,Formal Consultation,205-209 HWY 8,2017,To demolish the two existing single detached dwlling and develop the lands containing 11 townhouse dwelling units.,
599532.7419,4789975.0405,14857,MDA-17-149,Site Plan,857 WOODWARD AVE,2017,To build a new 40m high mobile base freestanding telecommunications tower,
593977.2198,4781293.8176,14858,PSR-16-115,Preliminary Site Plan Review,685 NEBO RD,2016,"To demolish 2 existing buildings on the west side of property and then construct a 1,090 SqM addition to the remaining building.",
597710.0931,4780990.1846,14859,PLC-16-026,Part Lot Control,3 BONHILL BLVD,2016,Removal of Part Lot Control to construct 22 street townhouse lots.,
585311.3952,4790974.1282,14860,DA-18-083,Site Plan,56 YORK RD,2018,To construct a three storey eight unit multiple dwelling with ten underground parking spaces.,
590043.2285,4789465.9123,14861,HM/B-17:115,Land Division,190 STANLEY AVE,2017,To permit the creation of a new residential building lot to be conveyed and to retain a new residential building lot for residential purposes. The existing dwelling will be demolished,
579599.8347,4800997.0666,14862,FL/B-17:113,Land Division,784 SAFARI RD,2017,To sever a parcel of land to be added to 752 Safari Road.,
582658.1395,4807620.7285,14863,FL/B-17:112,Land Division,460 10TH CON RD E,2017,To sever a parcel of rear land to be added to 460 10th Concession Road East,
590076.24,4798879.4714,14864,FL/B-17:117,Land Division,367 DUNDAS ST E,2017,,
607704.0303,4784591.3375,14865,SC/B-17:116,Land Division,157 MCNEILLY RD,2017,To permit the conveyance of a parcel of land containing a surplyd farm dwelling for residential purposes,
596034.76,4777490.207,14866,GL/B-17:114,Land Division,3600 GUYATT RD,2017,To permit the conveyance of a parcel of land containing a surplus farm dwelling and to retain a parcel of land for agricultural purposes as part of a non-abutting farm consolidation.,
602111.6884,4776895.6501,14867,GL/B-18:01,Land Division,1320 WOODBURN RD,2018,To permit the conveyance of a vacant parcel of land to be used of residential purposes.,
602091.4052,4776814.4394,14868,GL/B-18:02,Land Division,1320 WOODBURN RD,2018,To permit the conveyance of a vacant parcel of land to be used of residential purposes.,
586899.3732,4783911.8578,14869,GL/B-18:03,Land Division,253 GLANCASTER RD,2018,To permit the conveyance of a parcel of land to be added to 245 Glancaster Road,
599023.8812,4781789.5835,14870,SC/B-18:06,Land Division,44 LECKIE AVE,2018,,
590244.4049,4786418.3421,14871,HM/B-18:05,Land Division,626 WEST 5TH ST,2018,To sever a parcel of land to create a new residential building lot.,
590210.2206,4789858.3219,14872,HM/B-18:04,Land Division,70 MELBOURNE ST,2018,To sever a parcel of land to create a new residential building lot and to create a maintenance easement between the lots.,
598360.4822,4788601.7135,14873,ZAR-18-027,Zoning Amendment,205 MELVIN AVE,2018,"Modify the zoning in order to permit the construction of a four storey, 57 unit multiple dwelling.",
580289.4768,4783188.3349,14874,FC-18-082,Formal Consultation,"527 SHAVER RD, 629 GARNER RD W",2018,Construct twenty two 3 storey townhouse units having a maximum height of 12 metres on a private road.,
599765.3795,4784114.8057,14875,PLC-17-002,Part Lot Control,"2-12 PRESTWICK ST, 63-73 BEDROCK DR",2017,"To remove Part Lot Control for 62M-1232, Blocks 68 and 70 to create twelve (12) townhouse lots.",
599690.2699,4783973.6255,14876,PLC-17-001,Part Lot Control,420 FIRST RD W,2017,To remove Part Lot Control for 62M-1234 to create 54 maintenance easements between residential lots.,
599497.8387,4783959.2079,14877,PLC-17-007,Part Lot Control,1-15 HEDGES CRES,2017,"To remove Part Lot Control for 62M-1234, Block 62 to create eight (8) townhouse lots.",
599725.5815,4783972.0625,14878,PLC-17-006,Part Lot Control,"3-15 BRADSHAW DR, 72-84 SCARLETWOOD ST",2017,"To remove Part Lot Control for 62M-1234, Blocks 70 and 75 to create fourteen (14) townhouse lots.",
599817.3753,4783939.5021,14879,PLC-17-014,Part Lot Control,"112-124, 113-125 SCARLETWOOD ST",2017,"To remove Part Lot Control for 62M-1234, Blocks 66 and 69 to create fourteen (14) townhouse lots.",
595656.1395,4788248.1974,14880,FC-18-060,Formal Consultation,1401 KING ST E,2018,"Convert the existing place of worship into a three level retirement residence containing 50 units for a total gross floor area of 2,290.7 SqM",
598639.4999,4790014.3531,14881,FC-18-066,Formal Consultation,1870 BURLINGTON ST E,2018,"Construct a one-storey building (1,902.3 SqM) for the purposes of polishing and storing stainless steel.",
589675.1673,4798114.4803,14882,25CDM-201714,Condominium,30 HAMILTON ST S,2017,"Condominium Plan, To construct 99 apartment units. Registered as WCP-601",
597465.7996,4774803.8874,14883,25CDM-201810,Condominium,2605 BINBROOK RD,2018,The proposed Draft Plan of Condominium consists of 36 residential units and 7 ground floor commerial units within a three storey mixed-use building.,
597468.2822,4774815.1544,14884,DA-16-095,Site Plan,2605 BINBROOK RD,2016,Demolish the existing detached dwelling and accessory garage and to permit the construction of a three storey mixed-use condominium apartment building. The proposed structure will contain 36 residential dwelling units and seven at-grade commercial units.,
589069.028,4798750.3568,14885,MDA-18-113,Site Plan,200 HAMILTON ST N,2018,Improvements to the existing gravel parking lot to provide for an asphalt surface area containing 140 parking spaces.,
587664.4678,4797183.5934,14886,DA-18-109,Site Plan,56 PARKSIDE DR,2018,"Revised development proposal, relocating building from Block 9 to Block 8 of 25T-201507, increasing building coverage from 2,693 SqM to 5,575 SqM",
584698.0995,4790760.0024,14887,ZAR-16-021,Zoning Amendment,54 HATT ST,2016,To change 17 units on 2 floor into 26 Residential Care Facility.,
584704.8313,4790950.2308,14888,FC-16-041,Formal Consultation,69 KING ST E,2016,To convert an existing commercial retail building into a place of worship.,
593747.1724,4789494.4901,14889,FC-17-119,Formal Consultation,14 ACORN ST,2017,To develop the subject lands with a seven storey multiple dwelling consisting of 44 units for affordable housing,
568484.5013,4800837.0593,14890,FC-17-117,Formal Consultation,1492 KIRKWALL RD,2017,To create twelve lots on the subject lands.,
